text,labels,lang,id,translation
Private equity and the responsible investment journey,"['Asset & wealth management', 'Corporate Responsibility']",English,Greece-10936,Private equity and the responsible investment journey
Bankacılık ve Sermaye Piyasaları,['Banking & Financial Markets'],Turkish,Turkey-9541,Banking and Capital Markets
Regnskabshåndbogen for pengeinstitutter,"['Accounting & Assurance', 'Banking & Financial Markets']",Danish,Denmark-13562,The accounting manual for banks
Kim jest tester oprogramowania?,['Technology'],Polish,Poland-773,Who is the software tester?
Digital - Transporte y Turismo,"['Supply Chain & Transport', 'Technology', 'Retail & Consumers']",Spanish,Spain-1066,Digital - Transport and Tourism
Bir iç soruşturma planı nasıl hazırlanmalı?,"['Governance, Controls & Compliance']",Turkish,Turkey-6353,How should an internal investigation plan be prepared?
Lucas Palomar - Socio de Fusiones y adquisiciones,['M&A & Valuations'],Spanish,Spain-746,Lucas Palomar - Fusion and Procurement Partner
Assistance with Capital Market Transactions,['Banking & Financial Markets'],English,Israel-3955,Assistance with Capital Market Transactions
Dahilde İşleme Rejimi Tebliği (İhracat: 2006/12)’nde Değişiklik Yapılmasına Dair Tebliğ,['VAT & Customs'],Turkish,Turkey-8167,Communiqué on the Amendment of the Inward Processing Regime Communiqué (Export: 2006/12)
"Communications Review: Is your organisation prepared for IFRS 9, 15, and 16?","['Accounting & Assurance', 'Banking & Financial Markets']",English,Turkey-5792,"Communications Review: Is your organisation prepared for IFRS 9, 15, and 16?"
Deal summary AinaCom Oy,['M&A & Valuations'],English,Finland-3058,Deal summary AinaCom Oy
Deal summary Vaaka Partners Oy / Unisport Scandinavia AB,['M&A & Valuations'],English,Finland-3092,Deal summary Vaaka Partners Oy / Unisport Scandinavia AB
Insights from Sir Graeme Avery: Global Family Business Survey 2016: PwC,['SME & Family Business'],English,Greece-11097,Insights from Sir Graeme Avery: Global Family Business Survey 2016: PwC
KDV Genel Uygulama Tebliğinde Değişiklik Yapılmasına Dair 16 Seri No.lu Tebliğ,['VAT & Customs'],Turkish,Turkey-8020,Communiqué No. 16 on the Amendment of VAT General Application Communiqué
Regleringar den största risken inom energisektorn,"['Power, Energy & Renewables', 'Governance, Controls & Compliance']",Swedish,Sweden-14228,Regulations the greatest risk in the energy sector
Yritysvastuubarometri 2016,['Corporate Responsibility'],Finnish,Finland-3449,Corporate Responsibility Barometer 2016
Τραπεζική Αργία 2020,['Banking & Financial Markets'],Greek,Greece-10355,2020 bank holiday
Tax and legal news 15 December 2016,['Tax'],English,Finland-3242,Tax and legal news 15 December 2016
XIX Encuesta Mundial de CEOs - Retail y Consumo,"['Retail & Consumers', 'Board, Strategy & Management']",Spanish,Spain-1446,XIX World Survey of CEOs - Retail and Consumption
Hisse senedi piyasaları,['Banking & Financial Markets'],Turkish,Turkey-7023,Stock markets
Private Wealth,['Asset & wealth management'],English,Finland-3322,Private Wealth
Poradnik antykorupcyjny dla biznesu,['Financial Crime'],Polish,Poland-609,Anti -corruption guide for business
Quick fix: Købers momsnummer ved momsfrie EU-leverancer,"['VAT & Customs', 'Government & Policy']",Danish,Denmark-12955,Quick Fix: Buyer's VAT Number at VAT-free EU deliveries
CEO Görüşleri,"['Board, Strategy & Management']",English,Turkey-6204,CEO Görüşleri
"Industry 4.0,Industry 4.0,Industry 4.0,Industry 4.0,Industry 4.0",['Technology'],English,Spain-2773,"Industry 4.0,Industry 4.0,Industry 4.0,Industry 4.0,Industry 4.0"
Nedsættelse af sats for udbytteskat,['Tax'],Danish,Denmark-13651,Reduction of rate for dividend tax
IFRS news - August 2016,['Accounting & Assurance'],English,Greece-10731,IFRS news - August 2016
"CFOdirect: IFRS nyheder - nytårsfortsætter til din virksomhed, bliv forberedt på, hvilke spørgsmål du vil møde på aktionærmødet og meget mere","['Accounting & Assurance', 'Board, Strategy & Management']",Danish,Denmark-12225,"CFODirect: IFRS News - New Year's Edition for Your Business, Get Prepared for What Questions You Want To Meet At the Shareholders' Meeting And More More"
Gümrük Genel Tebliği (Gümrük İşlemleri) (Seri No: 98)'nde Değişiklik (Seri No: 159),['VAT & Customs'],Turkish,Turkey-7590,Amendment to Customs General Communiqué (Customs Procedures) (Series No: 98) (Serial No: 159)
C20 by Numbers 2017,['Banking & Financial Markets'],English,Denmark-13375,C20 by Numbers 2017
Kira Geliri Elde Edenler İçin Hatırlatmalar,['Real Estate & Construction'],Turkish,Turkey-7173,Reminders for those who earn rental income
Esimerkkejä yritysjärjestelytoimeksiannoistamme,['M&A & Valuations'],Finnish,Finland-3708,Examples of our M&A assignments
Books,"['Entertainment, Media & eSport']",English,Italy-4921,Books
XXII Encuesta Mundial de CEOs - PwC España,"['Board, Strategy & Management']",Spanish,Spain-1104,#VALUE!
La fulgurante evolución de los eSports,"['Entertainment, Media & eSport']",Spanish,Spain-1617,The brilliant evolution of eSports
Hábitos de consumo - 2018 Global Consumer Insights Survey,['Retail & Consumers'],Spanish,Spain-1967,Consumption habits - 2018 Global Consumer Insights Survey
Young Women Network,['Human Resource'],English,Italy-4682,Young Women Network
A régióban működő családi vállalkozások tulajdonosainak új generációja vezető szerepre készül,"['SME & Family Business', 'Board, Strategy & Management']",Hungarian,Hungary-171,A new generation of owners of family businesses in the region is preparing for a leading role
ESMA Q&A vedr. guidelines til Alternative Performance Measures (APM),"['Accounting & Assurance', 'Banking & Financial Markets', 'Government & Policy']",Danish,Denmark-12228,ESMA Q&A vedr. guidelines til Alternative Performance Measures (APM)
A1-attestationens praktiske værdi,"['Actuary, Pension & Insurance']",Danish,Denmark-12177,The practical value of the A1 Attestational
Fremtidsutsikter for den norske mediebransjen,"['Entertainment, Media & eSport']",Norwegian,Norway-11820,Prospects for the Norwegian media industry
Бизнес по-прежнему остается на стартовых позициях в вопросах интеграции и продвижения целей в области устойчивого развития,['Corporate Responsibility'],Russian,Russia-11693,The business still remains on starting positions in issues of integration and promoting goals in the field of sustainable development
Economic and business consulting,"['Board, Strategy & Management']",English,Israel-3929,Economic and business consulting
Deal summary Lumicon Oy,['M&A & Valuations'],English,Finland-3562,Deal summary Lumicon Oy
PwC Named a Leader in Global Cybersecurity Consulting and Global Digital Experience Agencies reports by Independent Research Firm,"['IT Security', 'Technology']",English,Global-13789,PwC Named a Leader in Global Cybersecurity Consulting and Global Digital Experience Agencies reports by Independent Research Firm
Key findings from the pharmaceuticals and life sciences industry,['Healthcare & Pharmaceuticals'],English,Turkey-5938,Key findings from the pharmaceuticals and life sciences industry
Luka VAT kosztuje kraje Europy Środkowo-Wschodniej 27 mld euro rocznie,['VAT & Customs'],Polish,Poland-1428,The VAT gap costs Central and Eastern European countries EUR 27 billion a year
Endnu en dansk regel er EU-stridig,['Government & Policy'],Danish,Denmark-12561,Yet another Danish rule is EU-disparate
Private Business,['SME & Family Business'],English,Turkey-9199,Private Business
Liikkeenjohdon konsultointi,"['Board, Strategy & Management']",Finnish,Finland-3484,Management consulting
İhraci kayda bağlı mallara ilişkin tebliğ (Tebliğ No: İhracat 2006/7)’de değişiklik yapılmasına dair tebliğ (İhracat: 2018/2),['VAT & Customs'],Turkish,Turkey-7443,Communiqué on the Amendment of the Communiqué on Exports Recorded Goods (Communiqué No: Export 2006/7) (Export: 2018/2)
Kira gelirlerinin beyanı,['Real Estate & Construction'],Turkish,Turkey-8685,Declaration of rent income
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (Tebliğ No: 2018/15),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7478,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2018/15)
Fondshåndbogen 2017,['Asset & wealth management'],Danish,Denmark-13445,The Fund Handbook 2017
La gestione dell’informativa interna,['Accounting & Assurance'],Italian,Italy-4798,The management of the internal information
Improve operational efficiency,"['Board, Strategy & Management']",English,Finland-2976,Improve operational efficiency
Balázs Gábor: IFRS - Komoly számviteli változások jöhetnek,['Accounting & Assurance'],Hungarian,Hungary-325,Gábor Balázs: IFRS - serious accounting changes can come
Yağlı Ayçiçeği Tohumu İthalatinda Tarife Kontenjanı Uygulanması Hakkında Karar (Karar Sayı 497),['VAT & Customs'],Turkish,Turkey-7562,Decision on the application of tariff quota in oil imports (Decision Issue 497)
Deal summary Oy Kaha Ab,['M&A & Valuations'],English,Finland-3549,Deal summary Oy Kaha Ab
Benzin ve Motorinde ÖTV İndirimi,['VAT & Customs'],Turkish,Turkey-7897,SCT discount in gasoline and motor
"Monitoring, Reporting and Validating (MRV) maritime vessels’ CO2 emissions performance: A new era in the Shipping Industry","['Supply Chain & Transport', 'Corporate Responsibility', 'Power, Energy & Renewables']",English,Greece-10699,"Monitoring, Reporting and Validating (MRV) maritime vessels’ CO2 emissions performance: A new era in the Shipping Industry"
一般社団法人日本トップリーグ連携機構とPwCコンサルティング、女性スポーツリーグ同士が連携するWoman Athletes Projectを発足,"['Entertainment, Media & eSport', 'Human Resource']",Japanese,Japan-9779,"Woman Athletes Project in which the Japan Top League Cooperation Organization and PWC Consulting, and women's sports leagues are collaborated with each other"
Real Estate Compliance,"['Real Estate & Construction', 'Governance, Controls & Compliance']",English,Greece-11251,Real Estate Compliance
PwC’nin son raporuna göre: Kadınlar iş yaşamında yükselmeye hazır ve işverenlerden şeffaflık bekliyorlar,['Human Resource'],Turkish,Turkey-6028,According to PWC's latest report: Women are ready to rise in business life and expect transparency from employers
PwCコンサルティングとテラドローン、空飛ぶクルマ／ドローンの現場活用支援で協業を開始,['Technology'],Japanese,Japan-9708,"Started collaboration with PWC consulting, terradlone, flying car / drone on -site use"
2019 Bankacılık ve sermaye piyasaları,['Banking & Financial Markets'],Turkish,Turkey-9594,2019 Banking and Capital Markets
Baselkomiteen opretter ny klimaenhed,"['Corporate Responsibility', 'Government & Policy', 'Board, Strategy & Management']",Danish,Denmark-13056,The Basel Committee creates new climate unit
Chairman's message: Global Annual Review 2020,"['Board, Strategy & Management']",English,Spain-1235,Chairman's message: Global Annual Review 2020
Firmy będą musiały skutecznie zapobiegać nadużyciom,['Financial Crime'],Polish,Poland-759,Companies will have to effectively prevent abuse
עדכון שיעור הריבית לעניין סעיפים 3(ט) ו-3(י) לפקודת מס הכנסה לשנת 2013,"['Tax', 'Banking & Financial Markets']",Hebrew,Israel-4384,Update interest rate for sections 3 (T) and 3) to the Income Tax Ordinance for 2013
Energia elektryczna w 2019 r. Skutki ustawy zamrażającej ceny energii elektrycznej dla przedsiębiorców,"['Start-Up, Innovation & Entrepreneurship', 'Power, Energy & Renewables']",Polish,Poland-838,Electricity in 2019. The effects of the act freezing the price of electricity for entrepreneurs
El Brexit tras las elecciones,['Government & Policy'],Spanish,Spain-256,Brexit behind the elections
İhracat Bedellerinin Yurda Getirilmesi Zorunluluğu 6 Ay Daha Uzatıldı,['VAT & Customs'],Turkish,Turkey-9389,The obligation to bring export fees to the country has been extended for 6 months
PwCコンサルティング、「電力・ガス小売市場意識調査2017」の結果を発表,"['Power, Energy & Renewables', 'Retail & Consumers']",Japanese,Japan-9717,"PWC Consulting announces the results of ""Electric Power / Gas Retail Market Awareness Survey 2017"""
GPW liderem pod względem liczby IPO w 2012 roku - Podsumowanie czwartego kwartału 2012 i perspektywy na 2013 rok,['Banking & Financial Markets'],Polish,Poland-1326,GPW leader in terms of IPO in 2012 - summary of the fourth quarter of 2012 and prospects for 2013
Focus on real-world problem solving in worldwide manufacturing supply chain,['Supply Chain & Transport'],English,Global-13724,Focus on real-world problem solving in worldwide manufacturing supply chain
Benyújtották az őszi adócsomagot tartalmazó törvényjavaslatot,"['Tax', 'Government & Policy']",Hungarian,Hungary-266,The bill containing the autumn tax package was submitted
Encuesta mundial sobre fraude y delito económico 2018,['Financial Crime'],Spanish,Spain-2628,World Survey on Economic Fraud and Crime 2018
Global Shipping Benchmarking Analysis 2014,['Supply Chain & Transport'],English,Greece-10996,Global Shipping Benchmarking Analysis 2014
Projekt ustawy wprowadzającej obowiązek codziennego przekazywania wyciągów z rachunków bankowych w formie JPK,"['Tax', 'Banking & Financial Markets', 'Government & Policy']",Polish,Poland-1093,Draft act introducing the obligation to daily transfer of statements from bank accounts in the form of JPK
PwC największą firmą doradztwa podatkowego 10-lecia,['Tax'],Polish,Poland-1522,PwC the largest tax consulting company of the 10th anniversary
Momsrefusionsordningen for kommuner og regioner,['VAT & Customs'],Danish,Denmark-13011,The VAT refund scheme for municipalities and regions
Kurumsal İstihbarat,"['Board, Strategy & Management']",Turkish,Turkey-6345,Corporate Intelligence
Entertainment and Media,"['Entertainment, Media & eSport']",English,Spain-14,Entertainment and Media
Los CEOs mundiales y españoles confirman la desaceleración de la economía global en 2020,"['Board, Strategy & Management', 'Government & Policy']",Spanish,Spain-2329,World and Spanish CEOs confirm the slowdown of the global economy in 2020
Contacta con Auditoría Interna,['Accounting & Assurance'],Spanish,Spain-1352,Contact internal audit
Sisäinen valvonta ja riskienhallinta,"['Governance, Controls & Compliance']",Finnish,Finland-3846,Internal control and risk management
מבזק מס 05/2012 - תזכורת לתשלום מקדמת מס - השכרה למגורים,"['Tax', 'Real Estate & Construction']",Hebrew,Israel-4323,Balance Tax 05/2012 - Reminder to pay tax promotion - Residential Rental
Ambiciózus tervekkel készülnek a jövőre a vállalatvezetők,"['Board, Strategy & Management']",Hungarian,Hungary-161,Amphentic plans are prepared for the next year by corporate executives
Regnskapsvirkninger av covid-19,"['Accounting & Assurance', 'Healthcare & Pharmaceuticals']",Norwegian,Norway-11937,Accounting effects of covid-19
Bravo Sustainability Dialogue 2018,['Corporate Responsibility'],English,Greece-10669,Bravo Sustainability Dialogue 2018
2016 Globalne Badanie Stanu Bezpieczeństwa Informacji. Perspektywa branżowa,['IT Security'],Polish,Poland-614,2016 Global testing of the state of information security. Industry perspective
"מבזק מס 5/2010- דחיית מועד הדיווח השנתי למע""מ של עוסקים הרשומים באיחוד עוסקים","['VAT & Customs', 'Accounting & Assurance']",Hebrew,Israel-4501,Flash No. 5/2010- Rejecting annual reporting date for VAT of the Union Business
7103 sayılı Kanun’un vergi düzenlemeleri,['Tax'],Turkish,Turkey-8638,Tax regulations of Law No. 7103
Ελληνικά Λογιστικά Πρότυπα (Ν.4308/2014) - Μέρος Β,['Accounting & Assurance'],Greek,Greece-10148,Greek Accounting Standards (Law 4308/2014) - Part B
Sermaye Piyasası Kurulu Tarafından COVID-19’un Etkilerini Sınırlandırmak Amacıyla Kararlar Alındı,"['Banking & Financial Markets', 'Board, Strategy & Management', 'Healthcare & Pharmaceuticals']",Turkish,Turkey-9416,Decisions were made by the Capital Markets Board to limit the effects of COVID-19
Seçilmiş Gelir İdaresi özelgeleri,['Accounting & Assurance'],Turkish,Turkey-8733,Selected Revenue Administration
7190 Sayılı “Gümrük Kanunu ve Bazı Kanunlarda Değişiklik Yapılması Hakkında Kanun” Yayımlandı,['VAT & Customs'],Turkish,Turkey-9340,The Law No. 7190 on Customs Law and Amendment to Some Laws ”was published
Paying Taxes 2019,['Tax'],English,Spain-1723,Paying Taxes 2019
Danske selskaber kan tage fradrag for underskud opstået i EU-/EØS-lande,"['Accounting & Assurance', 'Government & Policy']",Danish,Denmark-13262,Danish companies can take deductions for deficits arising from EU/EEA countries
Polski rynek nieruchomości pod względem dojrzałości coraz bardziej przypomina rynki zachodnioeuropejskie,['Real Estate & Construction'],Polish,Poland-1732,"In terms of maturity, the Polish real estate market is more and more like Western European markets"
Tecnología,['Technology'],Spanish,Spain-2564,Technology
Zmiany w przepisach o cenach transferowych. Definicja „transakcji” teraz jasno określona,['Tax'],Polish,Poland-826,"Changes in the provisions on transfer prices. Definition of ""transaction"" now clearly defined"
Payroll Outsourcing: Commodity ή υπηρεσία προστιθέμενης αξίας;,['Human Resource'],Greek,Greece-10373,Payroll Outsourcing: Commodity or value added service?
Blockchain,['Technology'],English,Italy-4847,Blockchain
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (2019/3),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7651,Communiqué on Prevention of Unfair Competition in Imports (2019/3)
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (Tebliğ No:2019/26),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7661,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2019/26)
"Blockchain technologies could boost the global economy US$1.76 trillion by 2030 through raising levels of tracking, tracing and trust","['Technology', 'Government & Policy']",English,Russia-11493,"Blockchain technologies could boost the global economy US$1.76 trillion by 2030 through raising levels of tracking, tracing and trust"
Alaptörvény-ellenes rendelkezések a cégtörvényben,"['Accounting & Assurance', 'Government & Policy']",Hungarian,Hungary-127,Anti-Fundamental Law Provisions in the Company Law
Bæredygtige investeringer i fokus i ny europæisk regulering,"['Asset & wealth management', 'Corporate Responsibility', 'Governance, Controls & Compliance']",Danish,Denmark-12962,Sustainable investments in focus in new European regulation
Stakeholdere og brandpositionering,"['Board, Strategy & Management']",Danish,Denmark-13554,Stakeholders and fire positioning
Składanie e-sprawozdań finansowych. Czy jesteś gotowy na zmiany?,"['Accounting & Assurance', 'Technology']",Polish,Poland-1172,Folding financial e-mails. Are you ready for changes?
Büyük ve Orta Boy İşletmeler için Finansal Raporlama Standardı,['Accounting & Assurance'],Turkish,Turkey-6559,Financial reporting standard for large and medium -sized businesses
Video games and e-sports,"['Entertainment, Media & eSport']",English,Italy-4935,Video games and e-sports
12 startupów technologicznych z Europy w programie PwC Startup Collider,"['Start-Up, Innovation & Entrepreneurship']",Polish,Poland-1636,12 technological startups from Europe in the PwC Startup Collider program
Globalt illustrativt IFRS-delårsmodelregnskab 2018,['Accounting & Assurance'],Danish,Denmark-12520,Global Illustrative IFRS divisional Model Accounting 2018
İthalatta haksız rekabetin önlenmesine ilişkin tebliğ (Tebliğ no: 2018/6),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7517,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2018/6)
Jak przygotować firmę na świat po kryzysie? | PwC,"['Board, Strategy & Management']",Polish,Poland-964,How to prepare a company for the world after a crisis? | Pwc
"EU Benchmark reguleringen indebærer, at LIBOR skal udfases og erstattes med andre referencerenter.","['Banking & Financial Markets', 'Government & Policy']",Danish,Denmark-12724,The EU Benchmark regulation means that Libor must be phased out and replaced with other reference rates.
El sector hotelero espera un invierno estable,['Retail & Consumers'],Spanish,Spain-2320,The hotel sector awaits a stable winter
Her kan særligt små selskaber finde penge til vækst,"['SME & Family Business', 'Board, Strategy & Management']",Danish,Denmark-13480,"Here, especially small companies can find money for growth"
Νέα μέτρα στήριξης της αγοράς εργασίας,['Human Resource'],Greek,Greece-10310,New labor market support measures
W jaki sposób oszuści podatkowi zagrażają branży agro?,"['Financial Crime', 'Tax']",Polish,Poland-633,How do tax fraudsters threaten the Agro industry?
Jak wynagradzać i motywować pracowników? | Wyzwania wzrostu #6,['Human Resource'],Polish,Poland-767,How to reward and motivate employees? | Growth challenges #6
NVE gir ut IKT-sjekkliste for å sikre den digitale beredskapen i kraftbransjen,"['IT Security', 'Technology', 'Power, Energy & Renewables']",Norwegian,Norway-11894,NVE releases the ICT check list to ensure digital emergency preparedness in the power industry
ÖTV (II) Sayılı Liste Uygulama Genel Tebliğinde Değişiklik,['VAT & Customs'],Turkish,Turkey-7922,Amendment in the General Communiqué on Liste Application numbered SCT (II)
La inteligencia artificial podría generar empleo neto en China,"['Technology', 'Government & Policy', 'Human Resource']",Spanish,Spain-2241,Artificial intelligence could generate net employment in China
EU vedtager Taksonomiforordning og skaber dermed fundamentet for bæredygtighed i Europa,"['Government & Policy', 'Governance, Controls & Compliance']",Danish,Denmark-13212,The EU adopts taxonomy regulation and thus creates the foundation of sustainability in Europe
Sociala medier,"['Entertainment, Media & eSport']",Swedish,Sweden-14232,Social Media
"Husk spilafgiften, hvis du afholder konkurrencer i påsken",['VAT & Customs'],Danish,Denmark-12044,Remember the gaming tax if you are holding competitions at Easter
LPG ve Türevlerinde ÖTV İndirimi,"['VAT & Customs', 'Power, Energy & Renewables']",Turkish,Turkey-7965,SCT discount on LPG and its derivatives
Regolamentazione del gas settlement,"['Power, Energy & Renewables', 'Governance, Controls & Compliance']",Italian,Italy-4817,Gas settlement regulation
Innovaatiot ja yrittäjyys,"['Start-Up, Innovation & Entrepreneurship']",Finnish,Finland-3499,Innovation and entrepreneurship
"100 ведущих компаний мира быстро восстанавливаются после низких показателей марта 2020 года, но волатильность на рынках остается высокой",['Banking & Financial Markets'],Russian,Russia-11697,"100 leading companies in the world are quickly restored after the low indicators of March 2020, but the volatility in the markets remains high"
"Hunting unicorns: interview with Glen Waters, Head of PwC UK Raise","['Start-Up, Innovation & Entrepreneurship']",English,Greece-11150,"Hunting unicorns: interview with Glen Waters, Head of PwC UK Raise"
İthalatta haksız rekabetin önlenmesine ilişkin tebliğ (Tebliğ no: 2018/2),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7503,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2018/2)
New VAT rules for the e-commerce sector,"['VAT & Customs', 'Retail & Consumers']",English,Poland-414,New VAT rules for the e-commerce sector
Worldwide Tax Summaries,['Tax'],English,Spain-2693,Worldwide Tax Summaries
Afgiftsvejledning 2018,['VAT & Customs'],Danish,Denmark-13349,Tax Guide 2018
Business Controls Advisory,"['Governance, Controls & Compliance', 'Board, Strategy & Management']",English,Italy-4969,Business Controls Advisory
"Opportunities, risk, and turmoil on the road to autonomous vehicles",['Technology'],English,Spain-1481,"Opportunities, risk, and turmoil on the road to autonomous vehicles"
Gümrük Genel Tebliği (Gümrük İşlemleri) (Seri No: 104)’nde Değişiklik,['VAT & Customs'],Turkish,Turkey-7596,Amendment to Customs General Communiqué (Customs Procedures) (Series No: 104)
People & Organization,['Human Resource'],English,Spain-1082,People & Organization
Crisis management consulting,"['Board, Strategy & Management']",English,Turkey-5233,Crisis management consulting
Postrzeganie korupcji i nadużyć w sektorze publicznym w Polsce na niezmiennym poziomie,"['Financial Crime', 'Government & Policy']",Polish,Poland-1720,Perception of corruption and abuse in the public sector in Poland at an unchanging level
England og Irland indfører ny sukkerafgift,['VAT & Customs'],Danish,Denmark-12501,England and Ireland introduce new sugar tax
Asset Management,['Asset & wealth management'],English,Italy-4782,Asset Management
Regulacje w kontrze do hubu gazowego,"['Power, Energy & Renewables']",Polish,Poland-712,Regulations in opposition to the gas hub
Informe 2016 Global Innovation 1000,"['Start-Up, Innovation & Entrepreneurship']",Spanish,Spain-296,Informe 2016 Global Innovation 1000
IFRS news - Valuation: Key considerations for impairment tests,"['Accounting & Assurance', 'M&A & Valuations']",English,Greece-10728,IFRS news - Valuation: Key considerations for impairment tests
Liberale erhverv: Husk at få godtgjort el- og vandafgift,"['VAT & Customs', 'Power, Energy & Renewables']",Danish,Denmark-13607,Liberal Business: Remember to have electricity and water tax reimbursed
"IFRS news, February 2018",['Accounting & Assurance'],English,Greece-10737,"IFRS news, February 2018"
Sermaye piyasalarına erişim,['Banking & Financial Markets'],Turkish,Turkey-7021,Access to Capital Markets
Prueba: Informe Consumer Insights Survey 2018 de PwC,['Retail & Consumers'],Spanish,Spain-2624,Test: Consumer Report Insights Survey 2018 from PWC
